SE COLINAS FID=SEL-421-R117-V0-Z007007-D20060413
41:47,5
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
8.13, -319.06814, -157.854764, 490.357352, -321.854815, -97.483881, 418.102114, 0
8.16, -231.744228, -261.971736, 500.433188, -261.74319, -174.083266, 433.834185, 0
8.19, -144.420316, -335.8612, 497.074576, -191.395414, -249.171273, 435.414262, 0
8.22, -60.455016, -396.316216, 470.20568, -116.7883, -310.382082, 423.804131, 0
8.25, 33.58612, -433.260948, 433.260948, -33.525112, -363.074215, 391.309504, 0
8.28, 127.627256, -473.564292, 376.164544, 49.257183, -404.087518, 350.090104, 0
8.31, 218.30978, -490.357352, 302.27508, 128.948023, -428.475663, 298.15366, 0
8.34, 308.992304, -493.715964, 208.233944, 207.058786, -438.917911, 230.553844, 0
8.37, 372.805932, -480.281516, 130.985868, 275.208194, -432.735001, 160.961757, 0
8.4, 433.260948, -456.771232, 47.020568, 335.182421, -411.026117, 80.103034, 0
8.43, 460.129844, -409.750664, -40.303344, 381.27945, -375.233938, -3.641047, 0
8.46, 503.7918, -342.578424, -144.420316, 414.323669, -326.388949, -83.537984, 0
8.49, 513.867636, -245.178676, -248.537288, 433.353292, -268.475692, -164.396707, 0
8.52, 500.433188, -157.854764, -329.143976, 435.963854, -199.2271, -236.668055, 0
8.55, 476.922904, -77.248076, -389.598992, 426.002499, -123.726899, -302.206901, 0
8.58, 429.902336, 0, -419.8265, 397.492414, -43.555166, -356.616509, 0
8.61, 366.088708, 100.75836, -446.695396, 354.624238, 42.387283, -396.736725, 0
8.64, 305.633692, 214.951168, -476.922904, 303.580881, 122.146822, -425.659004, 0
8.67, 208.233944, 308.992304, -493.715964, 239.209918, 198.746207, -435.482961, 0
8.7, 127.627256, 372.805932, -486.99874, 168.31255, 269.98707, -433.696787, 0
8.73, 47.020568, 426.543724, -460.129844, 90.751379, 327.556832, -415.766348, 0
8.76, -40.303344, 466.847068, -399.674828, 5.908114, 378.187995, -378.600189, 0
8.79, -141.061704, 503.7918, -349.295648, -74.813211, 413.430582, -335.732013, 0
8.82, -235.10284, 510.509024, -248.537288, -154.847546, 433.215894, -277.818756, 0
8.85, -308.992304, 503.7918, -164.571988, -230.004252, 438.849212, -208.501465, 0
8.88, -379.523156, 497.074576, -100.75836, -295.337001, 426.483392, -136.573612, 0
8.91, -426.543724, 460.129844, -16.79306, -351.189288, 400.721267, -52.623434, 0
8.94, -466.847068, 399.674828, 80.606688, -393.64527, 360.394954, 29.197075, 0
8.97, -490.357352, 325.785364, 181.365048, -422.704947, 308.389811, 109.712303, 0
9, -493.715964, 235.10284, 282.123408, -435.826456, 247.110303, 188.853551, 0
9.03, -483.640128, 147.778928, 359.371484, -434.727272, 175.319848, 258.445638, 0
9.06, -453.41262, 70.530852, 413.109276, -418.857803, 98.583065, 321.786116, 0
9.09, -403.03344, -23.510284, 443.336784, -385.40139, 15.80077, 370.837202, 0
9.12, -332.502588, -127.627256, 473.564292, -340.06005, -69.179893, 407.865963, 0
9.15, -261.971736, -225.027004, 497.074576, -285.238248, -146.534967, 430.811429, 0
9.18, -171.289212, -312.350916, 510.509024, -217.020141, -223.134352, 436.101252, 0
9.21, -94.041136, -379.523156, 493.715964, -144.611395, -290.115877, 430.193138, 0
9.24, -10.075836, -423.185112, 446.695396, -63.958769, -344.662883, 404.63711, 0
9.27, 94.041136, -463.488456, 403.03344, 20.541001, -391.446902, 365.066486, 0
9.3, 191.440884, -480.281516, 325.785364, 100.30054, -421.468365, 319.106855, 0
9.33, 282.123408, -497.074576, 251.8959, 179.785283, -436.92564, 255.56028, 0
9.36, 349.295648, -483.640128, 171.289212, 251.919233, -437.200436, 186.723882, 0
9.39, 413.109276, -470.20568, 80.606688, 314.778818, -419.956987, 110.467992, 0
9.42, 450.054008, -426.543724, 0, 366.234369, -390.21032, 25.968222, 0
9.45, 483.640128, -359.371484, -94.041136, 403.744023, -345.006378, -54.547006, 0
9.48, 503.7918, -285.48202, -211.592556, 428.475663, -290.528071, -135.749224, 0
9.51, 507.150412, -181.365048, -308.992304, 436.650844, -225.264021, -212.073813, 0
9.54, 490.357352, -100.75836, -359.371484, 431.086225, -151.275198, -279.261435, 0
9.57, 460.129844, -30.227508, -406.392052, 409.583438, -73.714027, -338.892167, 0
