SE RIBEIRO GONÇALVES FID=SEL-421-R117-V0-Z007007-D20060413
23:18,9
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
3.06, -517.226248, 1343.4448, -812.784104, -90.133088, 397.355016, -308.733306, 0
3.09, -732.177416, 1350.162024, -601.191548, -163.572319, 417.346425, -254.735892, 0
3.12, -937.052748, 1306.500068, -359.371484, -231.859125, 419.476094, -187.342173, 0
3.15, -1098.266124, 1212.458932, -97.399748, -291.421158, 404.911906, -113.902942, 0
3.18, -1229.251992, 1084.831676, 164.571988, -344.388087, 377.981898, -33.868607, 0
3.21, -1306.500068, 920.259688, 416.467888, -383.752614, 337.31209, 45.959631, 0
3.24, -1346.803412, 732.177416, 644.853504, -409.926933, 287.917509, 121.253735, 0
3.27, -1340.086188, 503.7918, 856.44606, -422.224054, 229.317262, 192.3572, 0
3.3, -1269.555336, 248.537288, 1031.093884, -414.804562, 159.656476, 255.216785, 0
3.33, -1162.079752, -6.717224, 1185.590036, -394.126163, 81.889208, 313.748333, 0
3.36, -1010.942212, -268.68896, 1286.348396, -361.975031, 2.404465, 362.181128, 0
3.39, -839.653, -503.7918, 1346.803412, -314.229226, -78.591656, 395.637541, 0
3.42, -634.777668, -735.536028, 1356.879248, -260.025715, -151.962188, 416.384639, 0
3.45, -399.674828, -926.976912, 1319.934516, -195.998247, -218.394121, 418.445609, 0
3.48, -141.061704, -1094.907512, 1229.251992, -120.429347, -280.566716, 404.293615, 0
3.51, 127.627256, -1225.89338, 1101.624736, -43.005574, -333.396247, 379.21848, 0
3.54, 369.44732, -1316.575904, 950.487196, 37.509654, -375.233938, 339.166963, 0
3.57, 604.55016, -1353.520636, 762.404924, 115.483019, -406.491983, 291.28376, 0
3.6, 816.142716, -1336.727576, 534.019308, 186.86128, -420.163084, 232.477416, 0
3.63, 994.149152, -1279.631172, 298.916468, 252.262728, -416.590736, 162.885329, 0
3.66, 1152.003916, -1175.5142, 20.151672, 309.488995, -397.286317, 87.24773, 0
3.69, 1272.913948, -1027.735272, -231.744228, 358.952275, -365.890874, 6.595104, 0
3.72, 1340.086188, -863.163284, -476.922904, 393.095678, -321.992213, -70.966067, 0
3.75, 1350.162024, -638.13628, -705.30852, 415.62895, -270.055769, -145.229686, 0
3.78, 1319.934516, -416.467888, -910.183852, 422.155355, -207.745776, -214.478278, 0
3.81, 1249.403664, -161.213376, -1081.473064, 407.453769, -134.375244, -274.315107, 0
3.84, 1115.059184, 100.75836, -1219.176156, 384.096109, -56.058384, -331.197879, 0
3.87, 960.563032, 356.012872, -1303.141456, 346.723853, 24.113349, -374.340851, 0
3.9, 779.197984, 604.55016, -1353.520636, 295.680496, 103.666791, -403.606625, 0
3.93, 567.605428, 812.784104, -1340.086188, 239.553413, 174.151965, -418.514308, 0
3.96, 332.502588, 987.431928, -1293.06562, 171.404005, 239.278617, -414.392368, 0
3.99, 60.455016, 1141.92808, -1188.948648, 94.323727, 299.321543, -397.492414, 0
4.02, -194.799496, 1259.4795, -1047.886944, 16.48776, 348.510027, -368.432737, 0
4.05, -433.260948, 1326.65174, -879.956344, -64.096167, 387.050166, -324.602775, 0
4.08, -668.363788, 1353.520636, -675.081012, -140.077261, 412.949689, -274.10901, 0
4.11, -866.521896, 1319.934516, -446.695396, -209.119756, 420.163084, -211.59292, 0
4.14, -1054.604168, 1252.762276, -188.082272, -272.116739, 411.50701, -139.252873, 0
4.17, -1192.30726, 1128.493632, 73.889464, -327.419434, 388.424146, -61.004712, 0
4.2, -1289.707008, 973.99748, 335.8612, -372.279881, 351.73888, 20.266205, 0
